datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-29 21:48:17,1092128,894.000,-1924.000,8441.000,563.000,-278.000,500.000,0.000,0.000,0
2026-01-29 21:48:17,1092168,1172.000,304.000,8168.000,1613.000,-266.000,54.000,0.000,0.000,0
2026-01-29 21:48:17,1092209,1103.000,-745.000,8287.000,-672.000,199.000,54.000,0.000,0.000,0
2026-01-29 21:48:17,1092248,867.000,-1454.000,8248.000,-237.000,342.000,98.000,0.000,0.000,0
2026-01-29 21:48:17,1092288,871.000,-608.000,8288.000,337.000,102.000,58.000,0.000,0.000,0
2026-01-29 21:48:17,1092328,931.000,-1055.000,8227.000,-211.000,52.000,161.000,0.000,0.000,0
2026-01-29 21:48:17,1092368,814.000,-597.000,8330.000,177.000,133.000,-8.000,0.000,0.000,0
2026-01-29 21:48:18,1092408,882.000,-1043.000,8247.000,-242.000,14.000,-3.000,0.000,0.000,0
2026-01-29 21:48:18,1092448,860.000,-870.000,8296.000,159.000,-20.000,-42.000,0.000,0.000,0
2026-01-29 21:48:18,1092488,920.000,-670.000,8275.000,67.000,-30.000,-46.000,0.000,0.000,0
2026-01-29 21:48:18,1092528,895.000,-982.000,8238.000,-120.000,43.000,-5.000,0.000,0.000,0
2026-01-29 21:48:18,1092568,859.000,-764.000,8300.000,37.000,21.000,24.000,0.000,0.000,0
2026-01-29 21:48:18,1092608,925.000,-918.000,8227.000,22.000,12.000,51.000,0.000,0.000,0
2026-01-29 21:48:18,1092648,865.000,-805.000,8275.000,144.000,85.000,47.000,0.000,0.000,0
2026-01-29 21:48:18,1092688,905.000,-880.000,8268.000,124.000,78.000,112.000,0.000,0.000,0
2026-01-29 21:48:18,1092728,1015.000,-1653.000,8210.000,1044.000,120.000,76.000,0.000,0.000,0
2026-01-29 21:48:18,1092768,983.000,-1123.000,8567.000,3139.000,313.000,-119.000,0.000,0.000,0
2026-01-29 21:48:18,1092808,1526.000,-671.000,8026.000,4382.000,-115.000,-269.000,0.000,0.000,0
2026-01-29 21:48:18,1092848,1615.000,1461.000,8476.000,3750.000,584.000,125.000,0.000,0.000,0
2026-01-29 21:48:18,1092888,2702.000,436.000,7351.000,2426.000,-1460.000,302.000,0.000,0.000,0
2026-01-29 21:48:18,1092928,1862.000,146.000,8438.000,1329.000,485.000,649.000,0.000,0.000,0
2026-01-29 21:48:18,1092968,2028.000,666.000,7781.000,-235.000,28.000,1638.000,0.000,0.000,0
2026-01-29 21:48:18,1093008,1291.000,484.000,7763.000,-228.000,-103.000,1812.000,0.000,0.000,0
2026-01-29 21:48:18,1093048,711.000,1217.000,7779.000,340.000,-57.000,1785.000,0.000,0.000,0
