datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-31 12:00:24,1699414,214.000,-875.000,8223.000,385.000,-292.000,-138.000,0.000,0.000,0
2026-01-31 12:00:24,1699454,166.000,-813.000,8568.000,292.000,35.000,-155.000,0.000,0.000,0
2026-01-31 12:00:24,1699494,173.000,-883.000,8480.000,68.000,-40.000,-191.000,0.000,0.000,0
2026-01-31 12:00:24,1699537,203.000,-792.000,8436.000,242.000,-115.000,-159.000,0.000,0.000,0
2026-01-31 12:00:24,1699575,280.000,-774.000,8450.000,72.000,-87.000,-176.000,0.000,0.000,0
2026-01-31 12:00:24,1699614,271.000,-829.000,8417.000,-52.000,-125.000,-214.000,0.000,0.000,0
2026-01-31 12:00:24,1699654,382.000,-740.000,8450.000,-29.000,-134.000,-148.000,0.000,0.000,0
2026-01-31 12:00:24,1699694,324.000,-792.000,8392.000,-13.000,-46.000,-163.000,0.000,0.000,0
2026-01-31 12:00:24,1699734,281.000,-848.000,8407.000,-132.000,-55.000,-68.000,0.000,0.000,0
2026-01-31 12:00:24,1699774,339.000,-775.000,8400.000,-24.000,-47.000,-124.000,0.000,0.000,0
2026-01-31 12:00:24,1699814,357.000,-849.000,8371.000,-14.000,-49.000,-87.000,0.000,0.000,0
2026-01-31 12:00:24,1699854,410.000,-623.000,8361.000,-147.000,55.000,-21.000,0.000,0.000,0
2026-01-31 12:00:24,1699894,109.000,-1140.000,8433.000,-392.000,106.000,99.000,0.000,0.000,0
2026-01-31 12:00:24,1699934,304.000,-808.000,8288.000,194.000,-229.000,-31.000,0.000,0.000,0
2026-01-31 12:00:24,1699976,394.000,-825.000,8456.000,87.000,-175.000,-58.000,0.000,0.000,0
2026-01-31 12:00:24,1700015,274.000,-838.000,8362.000,89.000,-202.000,-33.000,0.000,0.000,0
2026-01-31 12:00:24,1700054,457.000,-739.000,8420.000,-2.000,-218.000,-101.000,0.000,0.000,0
2026-01-31 12:00:24,1700094,278.000,-815.000,8424.000,-25.000,91.000,-271.000,0.000,0.000,0
2026-01-31 12:00:24,1700134,414.000,-523.000,8530.000,215.000,-3.000,-201.000,0.000,0.000,0
2026-01-31 12:00:24,1700174,366.000,-982.000,8344.000,306.000,388.000,62.000,0.000,0.000,0
2026-01-31 12:00:24,1700214,397.000,-609.000,8555.000,151.000,264.000,9.000,0.000,0.000,0
2026-01-31 12:00:24,1700254,260.000,-701.000,8505.000,24.000,164.000,-19.000,0.000,0.000,0
2026-01-31 12:00:24,1700294,282.000,-723.000,8405.000,-41.000,72.000,22.000,0.000,0.000,0
2026-01-31 12:00:24,1700334,337.000,-740.000,8411.000,41.000,-1.000,-18.000,0.000,0.000,0
2026-01-31 12:00:24,1700375,301.000,-786.000,8414.000,31.000,100.000,-40.000,0.000,0.000,0
2026-01-31 12:00:25,1700414,326.000,-667.000,8409.000,-17.000,41.000,51.000,0.000,0.000,0
2026-01-31 12:00:25,1700454,295.000,-664.000,8388.000,39.000,39.000,26.000,0.000,0.000,0
2026-01-31 12:00:25,1700494,261.000,-715.000,8346.000,-22.000,131.000,54.000,0.000,0.000,0
2026-01-31 12:00:25,1700534,267.000,-717.000,8432.000,29.000,68.000,101.000,0.000,0.000,0
2026-01-31 12:00:25,1700574,256.000,-648.000,8397.000,141.000,10.000,37.000,0.000,0.000,0
2026-01-31 12:00:25,1700614,297.000,-674.000,8411.000,11.000,-10.000,41.000,0.000,0.000,0
2026-01-31 12:00:25,1700654,276.000,-637.000,8502.000,-70.000,-155.000,113.000,0.000,0.000,0
2026-01-31 12:00:25,1700694,178.000,-756.000,8603.000,-316.000,-915.000,99.000,0.000,0.000,0
